iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"((2, 3), <game.Grid object at 0x0000024E37C48350>)",START,None,"[('((3, 3), <game.Grid object at 0x0000024E37C48800>)', 'East', 1), ('((1, 3), <game.Grid object at 0x0000024E37C488F0>)', 'West', 1)]","['((2, 3), <game.Grid object at 0x0000024E37C48350>)']","['((3, 3), <game.Grid object at 0x0000024E37C48800>)', '((1, 3), <game.Grid object at 0x0000024E37C488F0>)']","['((2, 3), <game.Grid object at 0x0000024E37C48350>)']",0,0,0
2,"((3, 3), <game.Grid object at 0x0000024E37C48800>)","((2, 3), <game.Grid object at 0x0000024E37C48350>)",East,"[('((3, 2), <game.Grid object at 0x0000024E37C48E60>)', 'South', 1), ('((2, 3), <game.Grid object at 0x0000024E37C48B30>)', 'West', 1)]","['((3, 3), <game.Grid object at 0x0000024E37C48800>)', '((1, 3), <game.Grid object at 0x0000024E37C488F0>)']","['((1, 3), <game.Grid object at 0x0000024E37C488F0>)', '((3, 2), <game.Grid object at 0x0000024E37C48E60>)']","['((3, 3), <game.Grid object at 0x0000024E37C48800>)', '((2, 3), <game.Grid object at 0x0000024E37C48350>)']",1,0,1
3,"((1, 3), <game.Grid object at 0x0000024E37C488F0>)","((2, 3), <game.Grid object at 0x0000024E37C48350>)",West,"[('((2, 3), <game.Grid object at 0x0000024E37C490A0>)', 'East', 1)]","['((1, 3), <game.Grid object at 0x0000024E37C488F0>)', '((3, 2), <game.Grid object at 0x0000024E37C48E60>)']","['((3, 2), <game.Grid object at 0x0000024E37C48E60>)', '((2, 3), <game.Grid object at 0x0000024E37C490A0>)']","['((3, 3), <game.Grid object at 0x0000024E37C48800>)', '((1, 3), <game.Grid object at 0x0000024E37C488F0>)', '((2, 3), <game.Grid object at 0x0000024E37C48350>)']",1,0,1
4,"((3, 2), <game.Grid object at 0x0000024E37C48E60>)","((3, 3), <game.Grid object at 0x0000024E37C48800>)",South,"[('((3, 3), <game.Grid object at 0x0000024E37C48830>)', 'North', 1), ('((3, 1), <game.Grid object at 0x0000024E37C48B30>)', 'South', 1)]","['((3, 2), <game.Grid object at 0x0000024E37C48E60>)', '((2, 3), <game.Grid object at 0x0000024E37C490A0>)']","['((2, 3), <game.Grid object at 0x0000024E37C490A0>)', '((3, 1), <game.Grid object at 0x0000024E37C48B30>)']","['((3, 3), <game.Grid object at 0x0000024E37C48800>)', '((3, 2), <game.Grid object at 0x0000024E37C48E60>)', '((1, 3), <game.Grid object at 0x0000024E37C488F0>)', '((2, 3), <game.Grid object at 0x0000024E37C48350>)']",2,0,2
5,"((2, 3), <game.Grid object at 0x0000024E37C490A0>)","((1, 3), <game.Grid object at 0x0000024E37C488F0>)",East,"[('((3, 3), <game.Grid object at 0x0000024E37C49640>)', 'East', 1), ('((1, 3), <game.Grid object at 0x0000024E37C498B0>)', 'West', 1)]","['((2, 3), <game.Grid object at 0x0000024E37C490A0>)', '((3, 1), <game.Grid object at 0x0000024E37C48B30>)']","['((3, 1), <game.Grid object at 0x0000024E37C48B30>)', '((3, 3), <game.Grid object at 0x0000024E37C49640>)']","['((2, 3), <game.Grid object at 0x0000024E37C490A0>)', '((1, 3), <game.Grid object at 0x0000024E37C488F0>)', '((2, 3), <game.Grid object at 0x0000024E37C48350>)', '((3, 2), <game.Grid object at 0x0000024E37C48E60>)', '((3, 3), <game.Grid object at 0x0000024E37C48800>)']",2,0,2
6,"((3, 1), <game.Grid object at 0x0000024E37C48B30>)","((3, 2), <game.Grid object at 0x0000024E37C48E60>)",South,"[('((3, 2), <game.Grid object at 0x0000024E37C48830>)', 'North', 1), ('((2, 1), <game.Grid object at 0x0000024E37C49250>)', 'West', 1)]","['((3, 1), <game.Grid object at 0x0000024E37C48B30>)', '((3, 3), <game.Grid object at 0x0000024E37C49640>)']","['((3, 3), <game.Grid object at 0x0000024E37C49640>)', '((2, 1), <game.Grid object at 0x0000024E37C49250>)']","['((2, 3), <game.Grid object at 0x0000024E37C490A0>)', '((1, 3), <game.Grid object at 0x0000024E37C488F0>)', '((3, 1), <game.Grid object at 0x0000024E37C48B30>)', '((2, 3), <game.Grid object at 0x0000024E37C48350>)', '((3, 2), <game.Grid object at 0x0000024E37C48E60>)', '((3, 3), <game.Grid object at 0x0000024E37C48800>)']",3,0,3
7,"((3, 3), <game.Grid object at 0x0000024E37C49640>)","((2, 3), <game.Grid object at 0x0000024E37C490A0>)",East,"[('((3, 2), <game.Grid object at 0x0000024E37C498B0>)', 'South', 1), ('((2, 3), <game.Grid object at 0x0000024E37C49C10>)', 'West', 1)]","['((3, 3), <game.Grid object at 0x0000024E37C49640>)', '((2, 1), <game.Grid object at 0x0000024E37C49250>)']","['((2, 1), <game.Grid object at 0x0000024E37C49250>)', '((3, 2), <game.Grid object at 0x0000024E37C498B0>)']","['((2, 3), <game.Grid object at 0x0000024E37C490A0>)', '((1, 3), <game.Grid object at 0x0000024E37C488F0>)', '((3, 1), <game.Grid object at 0x0000024E37C48B30>)', '((2, 3), <game.Grid object at 0x0000024E37C48350>)', '((3, 3), <game.Grid object at 0x0000024E37C49640>)', '((3, 2), <game.Grid object at 0x0000024E37C48E60>)', '((3, 3), <game.Grid object at 0x0000024E37C48800>)']",3,0,3
8,"((2, 1), <game.Grid object at 0x0000024E37C49250>)","((3, 1), <game.Grid object at 0x0000024E37C48B30>)",West,"[('((3, 1), <game.Grid object at 0x0000024E37C48830>)', 'East', 1), ('((1, 1), <game.Grid object at 0x0000024E37C49370>)', 'West', 1)]","['((2, 1), <game.Grid object at 0x0000024E37C49250>)', '((3, 2), <game.Grid object at 0x0000024E37C498B0>)']","['((3, 2), <game.Grid object at 0x0000024E37C498B0>)', '((1, 1), <game.Grid object at 0x0000024E37C49370>)']","['((2, 1), <game.Grid object at 0x0000024E37C49250>)', '((2, 3), <game.Grid object at 0x0000024E37C490A0>)', '((1, 3), <game.Grid object at 0x0000024E37C488F0>)', '((3, 1), <game.Grid object at 0x0000024E37C48B30>)', '((2, 3), <game.Grid object at 0x0000024E37C48350>)', '((3, 3), <game.Grid object at 0x0000024E37C49640>)', '((3, 2), <game.Grid object at 0x0000024E37C48E60>)', '((3, 3), <game.Grid object at 0x0000024E37C48800>)']",4,0,4
9,"((3, 2), <game.Grid object at 0x0000024E37C498B0>)","((3, 3), <game.Grid object at 0x0000024E37C49640>)",South,"[('((3, 3), <game.Grid object at 0x0000024E37C49220>)', 'North', 1), ('((3, 1), <game.Grid object at 0x0000024E37C492B0>)', 'South', 1)]","['((3, 2), <game.Grid object at 0x0000024E37C498B0>)', '((1, 1), <game.Grid object at 0x0000024E37C49370>)']","['((1, 1), <game.Grid object at 0x0000024E37C49370>)', '((3, 1), <game.Grid object at 0x0000024E37C492B0>)']","['((2, 1), <game.Grid object at 0x0000024E37C49250>)', '((2, 3), <game.Grid object at 0x0000024E37C490A0>)', '((1, 3), <game.Grid object at 0x0000024E37C488F0>)', '((3, 2), <game.Grid object at 0x0000024E37C498B0>)', '((3, 1), <game.Grid object at 0x0000024E37C48B30>)', '((2, 3), <game.Grid object at 0x0000024E37C48350>)', '((3, 3), <game.Grid object at 0x0000024E37C49640>)', '((3, 2), <game.Grid object at 0x0000024E37C48E60>)', '((3, 3), <game.Grid object at 0x0000024E37C48800>)']",4,0,4
10,"((1, 1), <game.Grid object at 0x0000024E37C49370>)","((2, 1), <game.Grid object at 0x0000024E37C49250>)",West,"[('((2, 1), <game.Grid object at 0x0000024E37C48830>)', 'East', 1)]","['((1, 1), <game.Grid object at 0x0000024E37C49370>)', '((3, 1), <game.Grid object at 0x0000024E37C492B0>)']","['((3, 1), <game.Grid object at 0x0000024E37C492B0>)', '((2, 1), <game.Grid object at 0x0000024E37C48830>)']","['((2, 1), <game.Grid object at 0x0000024E37C49250>)', '((2, 3), <game.Grid object at 0x0000024E37C490A0>)', '((1, 1), <game.Grid object at 0x0000024E37C49370>)', '((1, 3), <game.Grid object at 0x0000024E37C488F0>)', '((3, 2), <game.Grid object at 0x0000024E37C498B0>)', '((3, 1), <game.Grid object at 0x0000024E37C48B30>)', '((2, 3), <game.Grid object at 0x0000024E37C48350>)', '((3, 3), <game.Grid object at 0x0000024E37C49640>)', '((3, 2), <game.Grid object at 0x0000024E37C48E60>)', '((3, 3), <game.Grid object at 0x0000024E37C48800>)']",5,0,5
